cluster_id,cluster_name,player_id,player_name,team_name,position,age,minutes,quality_score
0,balanced profile,72614,Arijan Ademi,Dinamo Zagreb,Midfielder,35,837.0,72.47362441162149
0,balanced profile,75098,Dario Spikic,Dinamo Zagreb,Attacker,27,624.0,67.71962196219623
0,balanced profile,37287242,Ivan Laća,Šibenik,Attacker,23,1545.0,63.81053105310532
0,balanced profile,37324970,Marko Soldo,Osijek,Midfielder,22,2357.0,62.8014932640805
0,balanced profile,37704799,Adriano Jagusic,Slaven Koprivnica,Midfielder,20,1526.0,61.75864307742249
0,balanced profile,37583451,Gabriel Rukavina,Rijeka,Attacker,22,1100.0,58.93204320432043
0,balanced profile,28912771,Adrion Pajaziti,Gorica,Midfielder,23,1569.0,58.7355948709625
0,balanced profile,37528365,Nail Omerovic,Osijek,Attacker,23,2264.0,57.936993699369935
0,balanced profile,37540937,Mateo Lisica,Istra 1961,Attacker,22,2702.0,56.99234923492349
0,balanced profile,37356253,Dušan Vuković,Lokomotiva Zagreb,Attacker,23,1259.0,55.187218721872185
0,balanced profile,160244,Komnen Andric,Rijeka,Attacker,31,1234.0,54.87038703870387
0,balanced profile,69675,Luka Menalo,Rijeka,Attacker,29,727.0,54.16741674167417
0,balanced profile,9302755,Ivan Dolcek,Slaven Koprivnica,Attacker,26,1701.0,52.66516651665167
0,balanced profile,37581526,Domagoj Bukvic,Osijek,Attacker,22,1528.0,52.65166516651665
0,balanced profile,37582792,Luka Mamic,Varaždin,Midfielder,23,2003.0,50.15094952118163
0,balanced profile,37600592,Luka Vrbancic,Lokomotiva Zagreb,Midfielder,21,1668.0,50.053968511605255
0,balanced profile,24838180,Stipe Biuk,Hajduk Split,Attacker,23,904.0,47.81368136813681
0,balanced profile,37332624,Giorgi Gagua,Istra 1961,Attacker,24,1524.0,47.18541854185418
0,balanced profile,26336984,Niko Jankovic,Rijeka,Midfielder,24,2995.0,45.64356435643565
0,balanced profile,37667026,Igor Lepinjica,Slaven Koprivnica,Attacker,26,1397.0,45.42664266426641
0,balanced profile,37619959,Luka Kapulica,Gorica,Midfielder,21,891.0,44.622626197045925
0,balanced profile,37596443,Rokas Pukstas,Hajduk Split,Midfielder,21,1461.0,44.11459178704756
0,balanced profile,537305,Nazariy Rusyn,Hajduk Split,Attacker,27,692.0,42.9014401440144
0,balanced profile,7346393,Aleksa Latkovic,Varaždin,Midfielder,25,1392.0,42.52556403181302
0,balanced profile,15062015,Abdoulie Sanyang,Hajduk Split,Attacker,27,1145.0,39.6903690369037
0,balanced profile,73159,Ante Erceg,Gorica,Attacker,36,717.0,38.69396939693969
0,balanced profile,5270357,Marko Vranjkovic,Lokomotiva Zagreb,Defender,27,889.0,38.17931793179317
0,balanced profile,19624018,Adrian Liber,Slaven Koprivnica,Midfielder,25,1866.0,37.49310176919332
0,balanced profile,73844,Marko Dabro,Varaždin,Attacker,29,1884.0,36.68316831683168
