query_player,example_slot,role,rank,player_name,team_name,position,age,minutes,similarity,age_potential_score,underrated_score,reliability_percentile,younger_bonus,replacement_score
Dion Beljo,attacker_example,attacker,1,Josip Mitrovic,Slaven Koprivnica,Attacker,26.0,2346.0,0.9362891890591801,72.56218144750257,73.48289017571857,89.36170212765957,0.0,82.85297024452765
Dion Beljo,attacker_example,attacker,2,Michele Sego,Hajduk Split,Attacker,25.0,2051.0,0.9943579736831795,70.1583418280666,68.15368498058199,80.85106382978722,0.0,82.53766487484228
Dion Beljo,attacker_example,attacker,3,Nail Omerovic,Osijek,Attacker,23.0,2694.0,0.8356536965091793,67.44784233775059,67.96721910255094,97.87234042553192,5.0,82.04117842475573
Dion Beljo,attacker_example,attacker,4,Iuri Tavares,Varaždin,Attacker,25.0,2065.0,0.9163966316003799,67.9500509683996,67.66808385273926,82.97872340425532,0.0,78.87236966550846
Dion Beljo,attacker_example,attacker,5,Ante Rebić,Hajduk Split,Attacker,32.0,1828.0,0.9506849478422538,66.29255861365954,63.12565236080626,76.59574468085107,0.0,78.19987043803437
Dion Beljo,attacker_example,attacker,6,Emil Frederiksen,Istra 1961,Attacker,25.0,2260.0,0.8700503164551149,68.38600067957864,69.45311220286578,87.2340425531915,0.0,77.93183955797049
Dion Beljo,attacker_example,attacker,7,Roko Brajkovic,Hajduk Split,Attacker,21.0,1300.0,0.8390806671810412,68.03075093442067,62.51275735570942,53.191489361702125,5.0,76.79415237487994
Dion Beljo,attacker_example,attacker,8,Salim Fago Lawal,Istra 1961,Attacker,23.0,1328.0,0.9786082816257372,54.87020047570506,53.25280639246825,55.319148936170215,5.0,76.78786757985169
Dion Beljo,attacker_example,attacker,9,Samuel Akere,Osijek,Attacker,22.0,980.0,0.873399179610698,65.06269113149847,68.87573082528284,34.04255319148936,5.0,76.63417600808296
Dion Beljo,attacker_example,attacker,10,Jakov Puljic,Vukovar,Attacker,32.0,2743.0,0.9802187283295273,55.16581719334013,53.42950850399036,100.0,0.0,76.44439599198121
Ismaël Bennacer,midfielder_example,midfielder,1,Iker Pozo,Gorica,Midfielder,25.0,2716.0,0.8435409638287216,79.76287932251233,84.98949347880412,93.22033898305084,5.0,88.99043494396847
Ismaël Bennacer,midfielder_example,midfielder,2,Adriano Jagusic,Slaven Koprivnica,Midfielder,20.0,1728.0,0.8225304539259453,81.37614678899082,80.07081066501517,59.32203389830508,5.0,84.2604277165686
Ismaël Bennacer,midfielder_example,midfielder,3,Ljuban Crepulja,Slaven Koprivnica,Midfielder,32.0,1841.0,0.6534656636783069,80.0,86.40108589437298,66.10169491525424,0.0,74.0290132175323
Ismaël Bennacer,midfielder_example,midfielder,4,David Mejía,Vukovar,Midfielder,23.0,743.0,0.8713321935327527,55.42413549752999,62.78946302449532,16.94915254237288,5.0,70.73333624970546
Ismaël Bennacer,midfielder_example,midfielder,5,Niko Sigur,Hajduk Split,Midfielder,22.0,2224.0,0.5431538062810466,72.9167254763585,68.74080173742352,79.66101694915254,5.0,70.31543193654937
Ismaël Bennacer,midfielder_example,midfielder,6,Tomislav Duvnjak,Varaždin,Midfielder,23.0,2600.0,0.7342877721790715,56.75829216654904,49.63902611150317,89.83050847457628,5.0,70.30985460688584
Ismaël Bennacer,midfielder_example,midfielder,7,Adrion Pajaziti,Hajduk Split,Midfielder,23.0,1970.0,0.7150175451273558,60.182074805928025,54.38390966831334,69.49152542372882,5.0,69.4812587229082
Ismaël Bennacer,midfielder_example,midfielder,8,Robin González,Vukovar,Midfielder,27.0,2946.0,0.5638681440457746,61.9075511644319,63.32192597438947,98.30508474576271,5.0,68.62188478061472
Ismaël Bennacer,midfielder_example,midfielder,9,Toni Fruk,Rijeka,Midfielder,25.0,2131.0,0.5547185195398762,66.84968242766408,67.49774603661706,74.57627118644068,5.0,68.20082183586175
Ismaël Bennacer,midfielder_example,midfielder,10,Jurica Prsir,Gorica,Midfielder,26.0,2601.0,0.45840837022227193,61.47918136908962,58.11440526426638,91.52542372881356,5.0,62.555512645352394
Sergi Domínguez,defender_example,defender,1,Jakov Filipovic,Gorica,Defender,33.0,3027.0,0.8562470101684047,72.10505705974491,72.95230136905664,100.0,0.0,80.47185779847099
Sergi Domínguez,defender_example,defender,2,Luka Jelenic,Osijek,Defender,26.0,2363.0,0.8374022893323412,72.64365629894831,76.86185747554018,89.33333333333333,0.0,79.59489329141952
Sergi Domínguez,defender_example,defender,3,Denis Kolinger,Lokomotiva Zagreb,Defender,32.0,2693.0,0.9293272515170304,59.582792571044976,56.760980897692605,96.0,0.0,76.00012401153325
Sergi Domínguez,defender_example,defender,4,Ante Majstorovic,Rijeka,Defender,32.0,2679.0,0.8229798877418533,64.39673304989931,61.94676233694239,94.66666666666667,0.0,74.09423455869907
Sergi Domínguez,defender_example,defender,5,Stjepan Radeljic,Rijeka,Defender,28.0,1977.0,0.7137821789878511,74.08503020810024,78.79113467974835,73.33333333333333,0.0,73.86835649122712
Sergi Domínguez,defender_example,defender,6,Tino Jukic,Lokomotiva Zagreb,Defender,24.0,2339.0,0.8462190335261827,61.4941821436563,60.83907443092153,86.66666666666667,0.0,73.13149753699517
